"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Type","Length","Flags","Info"
"14","3.042419","192.168.45.13","192.168.45.28","","","DNS","","153","","Standard query response 0x410d HTTPS clients2.google.com CNAME clients.l.google.com SOA ns1.google.com"
"15","3.042419","192.168.45.13","192.168.45.28","","","DNS","","119","","Standard query response 0x7b9e A clients2.google.com CNAME clients.l.google.com A 142.250.193.142"
"16","3.062763","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","1292","","Initial, DCID=bfcc30e72c7baefe, PKN: 1, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PING, PADDING"
"17","3.062975","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","86","0x002","53484  >  443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 WS=256 SACK_PERM"
"18","3.183684","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Initial, SCID=ffcc30e72c7baefe, PKN: 1, ACK, CRYPTO, PADDING"
"19","3.183749","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","86","0x012","443  >  53484 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM WS=256"
"20","3.194024","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ffcc30e72c7baefe"
"21","3.194375","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ffcc30e72c7baefe"
"22","3.218307","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","74","0x010","53484  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"23","3.218461","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TLSv1.3","","677","0x018","Client Hello (SNI=clients2.google.com)"
"24","3.218526","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","1292","","Initial, DCID=ffcc30e72c7baefe, PKN: 2, ACK, PADDING"
"25","3.218557","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","101","","Handshake, DCID=ffcc30e72c7baefe"
"26","3.270714","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","74","0x010","443  >  53484 [ACK] Seq=1 Ack=604 Win=66816 Len=0"
"27","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TLSv1.3","","1294","0x010","Server Hello, Change Cipher Spec"
"28","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","1294","0x018","443  >  53484 [PSH, ACK] Seq=1221 Ack=604 Win=66816 Len=1220 [TCP segment of a reassembled PDU]"
"29","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","1294","0x010","443  >  53484 [ACK] Seq=2441 Ack=604 Win=66816 Len=1220 [TCP segment of a reassembled PDU]"
"30","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","1294","0x018","443  >  53484 [PSH, ACK] Seq=3661 Ack=604 Win=66816 Len=1220 [TCP segment of a reassembled PDU]"
"31","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","1294","0x010","443  >  53484 [ACK] Seq=4881 Ack=604 Win=66816 Len=1220 [TCP segment of a reassembled PDU]"
"32","3.306127","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TLSv1.3","","911","0x018","Application Data"
"33","3.310787","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ffcc30e72c7baefe"
"34","3.310787","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","954","","Protected Payload (KP0)"
"35","3.327613","192.168.45.28","224.0.0.251","","","MDNS","","87","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"36","3.327745","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"37","3.327799","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"38","3.327831","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"39","3.359591","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","74","0x010","53484  >  443 [ACK] Seq=604 Ack=2441 Win=131072 Len=0"
"40","3.359790","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","74","0x010","53484  >  443 [ACK] Seq=604 Ack=4881 Win=131072 Len=0"
"41","3.359823","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","74","0x010","53484  >  443 [ACK] Seq=604 Ack=6938 Win=131072 Len=0"
"42","3.359851","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TLSv1.3","","148","0x018","Change Cipher Spec, Application Data"
"43","3.359887","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","229","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"44","3.359940","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","298","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"45","3.359986","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TLSv1.3","","166","0x018","Application Data"
"46","3.400846","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TLSv1.3","","1040","0x018","Application Data, Application Data"
"47","3.400902","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TLSv1.3","","105","0x018","Application Data"
"48","3.405443","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1013","","Protected Payload (KP0)"
"49","3.405443","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","183","","Protected Payload (KP0)"
"50","3.405443","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","89","","Protected Payload (KP0)"
"51","3.421245","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TCP","","74","0x010","53484  >  443 [ACK] Seq=770 Ack=7935 Win=130048 Len=0"
"52","3.421357","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","53484","443","TLSv1.3","","105","0x018","Application Data"
"53","3.452473","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","93","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"54","3.465058","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53484","TCP","","74","0x010","443  >  53484 [ACK] Seq=7935 Ack=801 Win=66816 Len=0"
"55","3.482973","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","94","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"56","3.505283","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1288","","Protected Payload (KP0)"
"57","3.505630","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","598","","Protected Payload (KP0)"
"58","3.515137","192.168.45.28","239.255.255.250","","","SSDP","","167","","M-SEARCH * HTTP/1.1 "
"59","3.561206","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","97","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"60","3.561485","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:820::200e","","","QUIC","","102","","Protected Payload (KP0), DCID=ffcc30e72c7baefe"
"61","3.613241","2404:6800:4007:820::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","85","","Protected Payload (KP0)"
"62","5.334502","192.168.45.28","224.0.0.251","","","MDNS","","87","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"63","5.334667","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"64","5.334716","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"65","5.334746","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"66","5.443516","192.168.45.28","224.0.0.251","","","MDNS","","87","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"67","5.443600","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"68","5.443670","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"69","5.443682","fe80::c985:a7dc:e321:1b2","ff02::fb","","","MDNS","","107","","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"70","5.522814","192.168.45.28","239.255.255.250","","","SSDP","","167","","M-SEARCH * HTTP/1.1 "
"71","5.988565","192.168.45.28","202.39.224.7","","","ICMP","8","58","","Echo (ping) request  id=0x0001, seq=1814/5639, ttl=255 (no response found!)"
"72","6.514014","192.168.45.28","192.168.45.13","","","DNS","","74","","Standard query 0xc59e AAAA www.google.com"
"73","6.514542","192.168.45.28","192.168.45.13","","","DNS","","74","","Standard query 0x4ed2 A www.google.com"
"74","6.515058","192.168.45.28","192.168.45.13","","","DNS","","74","","Standard query 0x9a83 HTTPS www.google.com"
"75","6.549433","192.168.45.13","192.168.45.28","","","DNS","","102","","Standard query response 0xc59e AAAA www.google.com AAAA 2404:6800:4007:806::2004"
"76","6.549433","192.168.45.13","192.168.45.28","","","DNS","","90","","Standard query response 0x4ed2 A www.google.com A 142.250.194.228"
"77","6.549433","192.168.45.13","192.168.45.28","","","DNS","","99","","Standard query response 0x9a83 HTTPS www.google.com HTTPS"
"78","6.581468","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","1292","","Initial, DCID=43f4277c40d8862d, PKN: 1, PADDING, PING, PING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"79","6.581665","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","53485","443","TCP","","86","0x002","53485  >  443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 WS=256 SACK_PERM"
"80","6.637130","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Initial, SCID=e3f4277c40d8862d, PKN: 1, ACK, CRYPTO, PADDING"
"81","6.638073","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53485","TCP","","86","0x012","443  >  53485 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM WS=256"
"82","6.668076","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=e3f4277c40d8862d"
"83","6.668969","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=e3f4277c40d8862d"
"84","6.676742","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","53485","443","TCP","","74","0x010","53485  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"85","6.676845","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","53485","443","TLSv1.3","","1061","0x018","Client Hello (SNI=www.google.com)"
"86","6.676872","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","1292","","Initial, DCID=e3f4277c40d8862d, PKN: 2, ACK, PADDING"
"87","6.708287","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","101","","Handshake, DCID=e3f4277c40d8862d"
"88","6.736470","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53485","TCP","","74","0x010","443  >  53485 [ACK] Seq=1 Ack=988 Win=67584 Len=0"
"89","6.752699","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=e3f4277c40d8862d"
"90","6.753621","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","957","","Protected Payload (KP0)"
"91","6.770017","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53485","TLSv1.3","","449","0x018","Server Hello, Change Cipher Spec, Application Data"
"92","6.787120","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","101","","Handshake, DCID=e3f4277c40d8862d"
"93","6.787336","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","145","","Handshake, DCID=e3f4277c40d8862d"
"94","6.787441","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","128","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"95","6.787482","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","1288","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"96","6.787541","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","751","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"97","6.802955","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","53485","443","TLSv1.3","","148","0x018","Change Cipher Spec, Application Data"
"98","6.827725","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1003","","Protected Payload (KP0)"
"99","6.827806","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","183","","Protected Payload (KP0)"
"100","6.852091","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","85","","Protected Payload (KP0)"
"101","6.865564","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"102","6.886852","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","89","","Protected Payload (KP0)"
"103","6.890259","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53485","TCP","","74","0x010","443  >  53485 [ACK] Seq=376 Ack=1062 Win=67584 Len=0"
"104","6.958403","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1288","","Protected Payload (KP0)"
"105","6.958403","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Protected Payload (KP0)"
"106","6.960216","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"107","6.960824","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1058","","Protected Payload (KP0)"
"108","6.991380","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","97","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"109","6.991503","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","93","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"110","7.043619","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","86","","Protected Payload (KP0)"
"111","7.085173","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","259","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"112","7.116943","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","89","","Protected Payload (KP0)"
"113","7.165155","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"114","7.187560","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1157","","Protected Payload (KP0)"
"115","7.188338","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","111","","Protected Payload (KP0)"
"116","7.216977","192.168.45.28","192.168.45.13","","","DNS","","86","","Standard query 0x3696 AAAA encrypted-tbn0.gstatic.com"
"117","7.217466","192.168.45.28","192.168.45.13","","","DNS","","86","","Standard query 0x79ab A encrypted-tbn0.gstatic.com"
"118","7.217841","192.168.45.28","192.168.45.13","","","DNS","","86","","Standard query 0x7e4e HTTPS encrypted-tbn0.gstatic.com"
"119","7.228500","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","97","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"120","7.244803","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"121","7.276424","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","259","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"122","7.277176","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","86","","Protected Payload (KP0)"
"123","7.311139","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","89","","Protected Payload (KP0)"
"124","7.384817","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"125","7.392928","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1288","","Protected Payload (KP0)"
"126","7.392928","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","378","","Protected Payload (KP0)"
"127","7.392928","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","87","","Protected Payload (KP0)"
"128","7.392928","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","186","","Protected Payload (KP0)"
"129","7.416563","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","97","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"130","7.416696","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","93","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"131","7.440636","192.168.45.13","192.168.45.28","","","DNS","","114","","Standard query response 0x3696 AAAA encrypted-tbn0.gstatic.com AAAA 2404:6800:4007:82c::200e"
"132","7.448497","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","94","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"133","7.457039","192.168.45.13","192.168.45.28","","","DNS","","102","","Standard query response 0x79ab A encrypted-tbn0.gstatic.com A 142.250.71.46"
"134","7.458160","192.168.45.13","192.168.45.28","","","DNS","","143","","Standard query response 0x7e4e HTTPS encrypted-tbn0.gstatic.com SOA ns1.google.com"
"135","7.464413","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","1292","","Initial, DCID=2bf6c9b0da39d3dd, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO"
"136","7.466878","2404:6800:4007:806::2004","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","86","","Protected Payload (KP0)"
"137","7.527105","192.168.45.28","239.255.255.250","","","SSDP","","167","","M-SEARCH * HTTP/1.1 "
"138","7.527300","192.168.45.28","208.115.231.90","53461","443","TCP","","55","0x010","53461  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"139","7.605411","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","53486","443","TCP","","86","0x002","53486  >  443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 WS=256 SACK_PERM"
"140","7.746299","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","1292","","Initial, DCID=2bf6c9b0da39d3dd, PKN: 3, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO"
"141","7.747436","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","53486","TCP","","86","0x012","443  >  53486 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 SACK_PERM WS=256"
"142","7.747820","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Initial, SCID=ebf6c9b0da39d3dd, PKN: 1, ACK, CRYPTO, PADDING"
"143","7.761456","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ebf6c9b0da39d3dd"
"144","7.762394","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ebf6c9b0da39d3dd"
"145","7.794062","2600:1901:1:916::","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","443","51374","TLSv1.2","","203","0x019","Application Data, Application Data"
"146","7.794091","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","53486","443","TCP","","74","0x010","53486  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"147","7.794193","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","53486","443","TLSv1.3","","684","0x018","Client Hello (SNI=encrypted-tbn0.gstatic.com)"
"148","7.794230","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","101","","Handshake, DCID=ebf6c9b0da39d3dd"
"149","7.810035","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","1292","","Handshake, SCID=ebf6c9b0da39d3dd"
"150","7.810141","2404:6800:4007:82c::200e","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","","","QUIC","","322","","Protected Payload (KP0)"
"151","7.840461","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:806::2004","","","QUIC","","128","","Protected Payload (KP0), DCID=e3f4277c40d8862d"
"152","7.840578","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","103","","Handshake, DCID=ebf6c9b0da39d3dd"
"153","7.840609","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","103","","Handshake, DCID=ebf6c9b0da39d3dd"
"154","7.840636","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","145","","Handshake, DCID=ebf6c9b0da39d3dd"
"155","7.840671","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","131","","Protected Payload (KP0), DCID=ebf6c9b0da39d3dd"
"156","7.840707","2409:40f4:103d:71fa:5d6a:9d5a:fc65:e296","2404:6800:4007:82c::200e","","","QUIC","","363","","Protected Payload (KP0), DCID=ebf6c9b0da39d3dd"
